title,subtitle,arg
Step Inside Love/Los Paranoias,McCartney / 1968 / Anthology 3,McCartney / 1968 / Anthology 3
Strawberry Fields Forever,Lennon / 1966 / Magical Mystery Tour,Lennon / 1966 / Magical Mystery Tour
Sun King,"Lennon, with McCartney and Harrison / 1969 / Abbey Road","Lennon, with McCartney and Harrison / 1969 / Abbey Road"
Sure to Fall (in Love with You),McCartney / 1963 / Live at the BBC,McCartney / 1963 / Live at the BBC
Sweet Little Sixteen,Lennon / 1963 / Live at the BBC,Lennon / 1963 / Live at the BBC
Take Good Care of My Baby,Harrison / 1962 / ,Harrison / 1962 / 
Taking a Trip to Carolina,Starr / 1969 / Let It Be... Naked - Fly on the Wall bonus disc,Starr / 1969 / Let It Be... Naked - Fly on the Wall bonus disc
A Taste of Honey,McCartney / 1963 / UK: Please Please Me US: The Early Beatles,McCartney / 1963 / UK: Please Please Me US: The Early Beatles
Taxman,"Harrison, with Lennon and McCartney / 1966 / Revolver","Harrison, with Lennon and McCartney / 1966 / Revolver"
Teddy Boy,McCartney / 1969 / Anthology 3,McCartney / 1969 / Anthology 3
Tell Me What You See,"McCartney, with Lennon / 1965 / UK: Help! US: Beatles VI","McCartney, with Lennon / 1965 / UK: Help! US: Beatles VI"
Tell Me Why,Lennon / 1964 / UK: A Hard Day's Night US: Something New,Lennon / 1964 / UK: A Hard Day's Night US: Something New
Thank You Girl,"Lennon, McCartney / 1963 / UK: Rarities US: The Beatles Second Album","Lennon, McCartney / 1963 / UK: Rarities US: The Beatles Second Album"
That Means a Lot,McCartney / 1965 / Anthology 2,McCartney / 1965 / Anthology 2
That'll Be the Day,Lennon / 1958 / Anthology 1,Lennon / 1958 / Anthology 1
That’s All Right (Mama),McCartney / 1963 / Live at the BBC,McCartney / 1963 / Live at the BBC
There's a Place,"Lennon, McCartney / 1963 / UK: Please Please Me US: Rarities","Lennon, McCartney / 1963 / UK: Please Please Me US: Rarities"
Things We Said Today,McCartney / 1964 / UK: A Hard Day's Night US: Something New,McCartney / 1964 / UK: A Hard Day's Night US: Something New
Think for Yourself,Harrison / 1965 / Rubber Soul,Harrison / 1965 / Rubber Soul
This Boy,"Lennon, with McCartney and Harrison / 1963 / UK: Rarities US: Meet the Beatles!","Lennon, with McCartney and Harrison / 1963 / UK: Rarities US: Meet the Beatles!"
Three Cool Cats,Harrison / 1962 / Anthology 1,Harrison / 1962 / Anthology 1
Ticket to Ride,"Lennon, with McCartney / 1965 / Help!","Lennon, with McCartney / 1965 / Help!"
Till There Was You,McCartney / 1963 / UK: With the Beatles US: Meet the Beatles!,McCartney / 1963 / UK: With the Beatles US: Meet the Beatles!
Tip of My Tongue,"Lennon, McCartney /  / Unreleased","Lennon, McCartney /  / Unreleased"
To Know Her is to Love Her,Lennon / 1963 / Live at the BBC,Lennon / 1963 / Live at the BBC
Tomorrow Never Knows,Lennon / 1966 / Revolver,Lennon / 1966 / Revolver
Too Much Monkey Business,Lennon / 1963 / Live at the BBC,Lennon / 1963 / Live at the BBC
Twist and Shout,Lennon / 1963 / UK: Please Please Me US: The Early Beatles,Lennon / 1963 / UK: Please Please Me US: The Early Beatles
Two of Us,"McCartney, with Lennon / 1969 / Let It Be","McCartney, with Lennon / 1969 / Let It Be"
Wait,McCartney and Lennon / 1965 / Rubber Soul,McCartney and Lennon / 1965 / Rubber Soul
Watching Rainbows,Lennon / 1969 / ,Lennon / 1969 / 
We Can Work It Out,"McCartney, with Lennon / 1965 / UK: A Collection of Beatles Oldies US: Yesterday and Today","McCartney, with Lennon / 1965 / UK: A Collection of Beatles Oldies US: Yesterday and Today"
What Goes On,Starr / 1965 / UK: Rubber Soul US: Yesterday and Today,Starr / 1965 / UK: Rubber Soul US: Yesterday and Today
What You're Doing,McCartney / 1964 / UK: Beatles for Sale US: Beatles VI,McCartney / 1964 / UK: Beatles for Sale US: Beatles VI
What's The New Mary Jane,Lennon / 1968 / Anthology 3,Lennon / 1968 / Anthology 3
When I Get Home,Lennon / 1964 / UK: A Hard Day's Night US: Something New,Lennon / 1964 / UK: A Hard Day's Night US: Something New
When I'm Sixty-Four,McCartney / 1966 / Sgt. Pepper's Lonely Hearts Club Band,McCartney / 1966 / Sgt. Pepper's Lonely Hearts Club Band
While My Guitar Gently Weeps,Harrison / 1968 / The Beatles,Harrison / 1968 / The Beatles
Why Don't We Do It in the Road?,McCartney / 1968 / The Beatles,McCartney / 1968 / The Beatles
Wild Honey Pie,McCartney / 1968 / The Beatles,McCartney / 1968 / The Beatles
With a Little Help from My Friends,"Starr, with Lennon and McCartney / 1967 / Sgt. Pepper's Lonely Hearts Club Band","Starr, with Lennon and McCartney / 1967 / Sgt. Pepper's Lonely Hearts Club Band"
Within You Without You,Lennon / 1967 / Sgt. Pepper's Lonely Hearts Club Band,Lennon / 1967 / Sgt. Pepper's Lonely Hearts Club Band
Woman,McCartney / 1965 / Let It Be film,McCartney / 1965 / Let It Be film
The Word,"Lennon, with McCartney and Harrison / 1965 / Rubber Soul","Lennon, with McCartney and Harrison / 1965 / Rubber Soul"
Words of Love,"Lennon, McCartney / 1964 / UK: Beatles for Sale US: Beatles VI","Lennon, McCartney / 1964 / UK: Beatles for Sale US: Beatles VI"
Yellow Submarine,Starr / 1966 / Revolver,Starr / 1966 / Revolver
Yer Blues,Lennon / 1968 / The Beatles,Lennon / 1968 / The Beatles
Yes It Is,"Lennon, McCartney and Harrison / 1965 / UK: Rarities US: Beatles VI","Lennon, McCartney and Harrison / 1965 / UK: Rarities US: Beatles VI"
Yesterday,McCartney / 1965 / UK: Help! US: Yesterday and Today,McCartney / 1965 / UK: Help! US: Yesterday and Today
You Can't Do That,Lennon / 1964 / UK: A Hard Day's Night US: The Beatles Second Album,Lennon / 1964 / UK: A Hard Day's Night US: The Beatles Second Album
You Know My Name (Look Up the Number),"Lennon, McCartney / 1967 / UK: Rarities US: Rarities","Lennon, McCartney / 1967 / UK: Rarities US: Rarities"
You Know What to Do,Harrison / 1964 / Anthology 1,Harrison / 1964 / Anthology 1
You Like Me Too Much,Harrison / 1965 / UK: Help! US: Beatles VI,Harrison / 1965 / UK: Help! US: Beatles VI
You Never Give Me Your Money,McCartney / 1969 / Abbey Road,McCartney / 1969 / Abbey Road
You Won't See Me,McCartney / 1965 / Rubber Soul,McCartney / 1965 / Rubber Soul
You'll Be Mine,McCartney / 1960 / Anthology 1,McCartney / 1960 / Anthology 1
Young Blood,Harrison / 1963 / Live at the BBC,Harrison / 1963 / Live at the BBC
Your Mother Should Know,McCartney / 1967 / Magical Mystery Tour,McCartney / 1967 / Magical Mystery Tour
You're Going to Lose That Girl,Lennon / 1965 / Help!,Lennon / 1965 / Help!
You've Got to Hide Your Love Away,Lennon / 1965 / Help!,Lennon / 1965 / Help!
You've Really Got a Hold on Me,Lennon and Harrison / 1963 / UK: With the Beatles US: The Beatles Second Album,Lennon and Harrison / 1963 / UK: With the Beatles US: The Beatles Second Album
